operation,count,p50,p90,p99,p999
AddBlockPermissions,8348,1.0,21.544,215.443,215.443
ApplyBlockPermissions,8208,inf,inf,inf,inf
BlockClouds,12156,2.154,215.443,215.443,215.443
CreateCloud,360,3.162,4.642,6.813,6.813
CreateDefaultCloud,117485,6.813,14.678,14.678,31.623
CreateFolder,298984,1.468,1.468,2.154,4.642
DeleteCloud,8539,3162.278,6812.921,inf,inf
DeleteFolder,297606,2154.435,3162.278,4641.589,10000.0
MoveCloud,106,1.468,3.162,4.642,4.642
RemoveBlockPermissions,20506,1.0,1.0,2.154,6.813
SetCloudAccessBindings,130,2.154,2.154,4.642,4.642
SetCloudPermissionStages,20,0.1,0.1,0.1,0.1
SetFolderAccessBindings,4946,2.154,2.154,4.642,6.813
UnblockClouds,20847,2.154,2.154,4.642,68.129
UpdateCloud,346,0.1,0.1,0.1,0.1
UpdateCloudAccessBindings,112187,0.316,2.154,6.813,6.813
UpdateCloudPermissionStages,503,0.1,0.1,0.1,0.1
UpdateFolder,22709,0.1,0.1,0.1,0.1
UpdateFolderAccessBindings,1004724,2.154,2.154,6.813,10.0
UpdateQuotaLimit,8,0.1,0.1,0.1,0.1
