le,operation,statusCode,min,max,avg,sum,last,integral
0.1,AddBlockPermissions,OK,0,0,0,0,0,0
0.1,ApplyBlockPermissions,CANCELLED,0,0,0,0,0,0
0.1,ApplyBlockPermissions,OK,0,0,0,0,0,0
0.1,BlockClouds,OK,0,0,0,0,0,0
0.1,CreateCloud,OK,0,0,0,0,0,0
0.1,CreateDefaultCloud,FAILED_PRECONDITION,0,0,0,0,0,0
0.1,CreateDefaultCloud,INTERNAL,0,0,0,0,0,0
0.1,CreateDefaultCloud,OK,0,0,0,0,0,0
0.1,CreateFolder,OK,0,0,0,0,0,0
0.1,DeleteCloud,CANCELLED,0,389.6776543164743,195.64798827177583,97432.69815934436,389.6776543164743,522921291.02120185
0.1,DeleteCloud,OK,0,0,0,0,0,0
0.1,DeleteFolder,CANCELLED,0,243.25819618501183,105.59809656067664,52587.85208721697,243.25819618501183,282239002.1520936
0.1,DeleteFolder,FAILED_PRECONDITION,0,0,0,0,0,0
0.1,DeleteFolder,OK,0,62.301212490686176,27.811309403350982,13850.032082868789,62.301212490686176,74333122.18875676
0.1,MoveCloud,FAILED_PRECONDITION,0,0,0,0,0,0
0.1,MoveCloud,OK,0,0,0,0,0,0
0.1,RemoveBlockPermissions,OK,0,0,0,0,0,0
0.1,SetCloudAccessBindings,FAILED_PRECONDITION,0,0,0,0,0,0
0.1,SetCloudAccessBindings,OK,0,0,0,0,0,0
0.1,SetCloudPermissionStages,OK,0,20,13.873381816448305,6895.070762774807,20,37005844.78381239
0.1,SetFolderAccessBindings,FAILED_PRECONDITION,0,0,0,0,0,0
0.1,SetFolderAccessBindings,OK,0,0,0,0,0,0
0.1,UnblockClouds,OK,0,0,0,0,0,0
0.1,UpdateCloud,OK,0,346.77255952030464,166.2568771371082,82795.92481427989,346.77255952030464,444365728.4782401
0.1,UpdateCloudAccessBindings,FAILED_PRECONDITION,0,27.677777777777777,9.41799841128858,4690.163208821713,27.677777777777777,25172105.94174604
0.1,UpdateCloudAccessBindings,OK,0,0,0,0,0,0
0.1,UpdateCloudPermissionStages,OK,0,503.9163675383692,202.05683987265846,100624.3062565839,503.9163675383692,540050651.6790863
0.1,UpdateFolder,OK,0,22709.48261184519,10795.309450632967,5376064.106415218,22709.48261184519,28853336059.13048
0.1,UpdateFolderAccessBindings,FAILED_PRECONDITION,0,62,14.897910121398187,7419.159240456297,62,39818627.643528946
0.1,UpdateFolderAccessBindings,OK,0,0,0,0,0,0
0.1,UpdateFolderAccessBindings,RESOURCE_EXHAUSTED,0,0,0,0,0,0
0.1,UpdateQuotaLimit,OK,0,8.00301204819277,4.737557615431466,2359.3036924848698,8.00301204819277,12662382.917566251
0.147,AddBlockPermissions,OK,0,0,0,0,0,0
0.147,ApplyBlockPermissions,CANCELLED,0,0,0,0,0,0
0.147,ApplyBlockPermissions,OK,0,0,0,0,0,0
0.147,BlockClouds,OK,0,0,0,0,0,0
0.147,CreateCloud,OK,0,0,0,0,0,0
0.147,CreateDefaultCloud,FAILED_PRECONDITION,0,0,0,0,0,0
0.147,CreateDefaultCloud,INTERNAL,0,0,0,0,0,0
0.147,CreateDefaultCloud,OK,0,0,0,0,0,0
0.147,CreateFolder,OK,0,0,0,0,0,0
0.147,DeleteCloud,CANCELLED,0,0,0,0,0,0
0.147,DeleteCloud,OK,0,0,0,0,0,0
0.147,DeleteFolder,CANCELLED,0,0,0,0,0,0
0.147,DeleteFolder,FAILED_PRECONDITION,0,0,0,0,0,0
0.147,DeleteFolder,OK,0,1.0000000000000002,0.44592815707273536,222.07222222222222,1.0000000000000002,1191861.6166666667
0.147,MoveCloud,FAILED_PRECONDITION,0,0,0,0,0,0
0.147,MoveCloud,OK,0,0,0,0,0,0
0.147,RemoveBlockPermissions,OK,0,0,0,0,0,0
0.147,SetCloudAccessBindings,FAILED_PRECONDITION,0,0,0,0,0,0
0.147,SetCloudAccessBindings,OK,0,0,0,0,0,0
0.147,SetCloudPermissionStages,OK,0,0,0,0,0,0
0.147,SetFolderAccessBindings,FAILED_PRECONDITION,0,1,0.25701845844918136,127.9951923076923,1,686950.1971153846
0.147,SetFolderAccessBindings,OK,0,0,0,0,0,0
0.147,UnblockClouds,OK,0,9,1.415434411333057,704.8863368438624,9,3783124.969841009
0.147,UpdateCloud,OK,0,0,0,0,0,0
0.147,UpdateCloudAccessBindings,FAILED_PRECONDITION,0,8688.211539612501,3737.1213519035446,1861086.4332479653,8688.211539612501,9988450887.24184
0.147,UpdateCloudAccessBindings,OK,0,0,0,0,0,0
0.147,UpdateCloudPermissionStages,OK,0,0,0,0,0,0
0.147,UpdateFolder,OK,0,0,0,0,0,0
0.147,UpdateFolderAccessBindings,FAILED_PRECONDITION,0,8604.031548431954,3629.4820626414894,1807482.0671954618,8604.031548431954,9700756254.638048
0.147,UpdateFolderAccessBindings,OK,0,0,0,0,0,0
0.147,UpdateFolderAccessBindings,RESOURCE_EXHAUSTED,0,0,0,0,0,0
0.147,UpdateQuotaLimit,OK,0,0,0,0,0,0
