le,method,min,max,avg,sum,last,integral
inf,servicecontrol.v1.AccessService/Authorize,0,0,0,0,0,0
inf,servicecontrol.v1.AccessService/Authenticate,0,0,0,0,0,0
inf,resourcemanager.v1.transitional.FolderService/List,0,0,0,0,0,0
inf,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
inf,accessservice.v2.AccessService/CheckAlphaFlags,0,0,0,0,0,0
inf,accessservice.v2.AccessService/BulkAuthorize,0,0,0,0,0,0
inf,accessservice.v2.AccessService/Authorize,0,0,0,0,0,0
inf,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0,0,0,0,0
inf,accessservice.v2.AccessService/Authenticate,0,0,0,0,0,0
100.0,servicecontrol.v1.AccessService/Authorize,0,0,0,0,0,0
100.0,servicecontrol.v1.AccessService/Authenticate,0,0,0,0,0,0
100.0,resourcemanager.v1.transitional.FolderService/List,0,0,0,0,0,0
100.0,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
100.0,accessservice.v2.AccessService/CheckAlphaFlags,0,0,0,0,0,0
100.0,accessservice.v2.AccessService/BulkAuthorize,0,0,0,0,0,0
100.0,accessservice.v2.AccessService/Authorize,0,0,0,0,0,0
100.0,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0,0,0,0,0
100.0,accessservice.v2.AccessService/Authenticate,0,0,0,0,0,0
75.0,servicecontrol.v1.AccessService/Authorize,0,0,0,0,0,0
75.0,servicecontrol.v1.AccessService/Authenticate,0,0,0,0,0,0
75.0,resourcemanager.v1.transitional.FolderService/List,0,0,0,0,0,0
75.0,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
75.0,accessservice.v2.AccessService/CheckAlphaFlags,0,0,0,0,0,0
75.0,accessservice.v2.AccessService/BulkAuthorize,0,0,0,0,0,0
75.0,accessservice.v2.AccessService/Authorize,0,0,0,0,0,0
75.0,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0,0,0,0,0
75.0,accessservice.v2.AccessService/Authenticate,0,0,0,0,0,0
50.0,servicecontrol.v1.AccessService/Authorize,0,0,0,0,0,0
50.0,servicecontrol.v1.AccessService/Authenticate,0,0,0,0,0,0
50.0,resourcemanager.v1.transitional.FolderService/List,0,0,0,0,0,0
50.0,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
50.0,accessservice.v2.AccessService/CheckAlphaFlags,0,0,0,0,0,0
50.0,accessservice.v2.AccessService/BulkAuthorize,0,0,0,0,0,0
50.0,accessservice.v2.AccessService/Authorize,0,0,0,0,0,0
50.0,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0,0,0,0,0
50.0,accessservice.v2.AccessService/Authenticate,0,0,0,0,0,0
25.0,servicecontrol.v1.AccessService/Authorize,0,0,0,0,0,0
25.0,servicecontrol.v1.AccessService/Authenticate,0,0,0,0,0,0
25.0,resourcemanager.v1.transitional.FolderService/List,0,0,0,0,0,0
25.0,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
25.0,accessservice.v2.AccessService/CheckAlphaFlags,0,0,0,0,0,0
25.0,accessservice.v2.AccessService/BulkAuthorize,0,0,0,0,0,0
25.0,accessservice.v2.AccessService/Authorize,0,0,0,0,0,0
25.0,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0,0,0,0,0
25.0,accessservice.v2.AccessService/Authenticate,0,0,0,0,0,0
10.0,servicecontrol.v1.AccessService/Authorize,0,0,0,0,0,0
10.0,servicecontrol.v1.AccessService/Authenticate,0,0,0,0,0,0
10.0,resourcemanager.v1.transitional.FolderService/List,0,0,0,0,0,0
10.0,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
10.0,accessservice.v2.AccessService/CheckAlphaFlags,0,0,0,0,0,0
10.0,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0,0,0,0,0
7.5,servicecontrol.v1.AccessService/Authorize,0,0,0,0,0,0
7.5,resourcemanager.v1.transitional.FolderService/List,0,0,0,0,0,0
7.5,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
7.5,accessservice.v2.AccessService/CheckAlphaFlags,0,0,0,0,0,0
7.5,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0,0,0,0,0
5.0,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
5.0,accessservice.v2.AccessService/CheckAlphaFlags,0,0,0,0,0,0
5.0,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0,0,0,0,0
2.5,resourcemanager.v1.transitional.FolderService/List,0,0,0,0,0,0
2.5,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0,0,0,0,0
1.0,resourcemanager.v1.transitional.FolderService/List,0,0,0,0,0,0
1.0,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
1.0,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0,0,0,0,0
0.75,resourcemanager.v1.transitional.FolderService/List,0,0,0,0,0,0
0.75,accessservice.v2.AccessService/CheckAlphaFlags,0,0,0,0,0,0
0.75,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0,0,0,0,0
0.5,resourcemanager.v1.transitional.FolderService/List,0,0,0,0,0,0
0.075,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0,0,0,0,0
0.025,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
0.25,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0.000010440858900704858,4.175518766451548e-8,0.000020627062706270648,0,0.025000000000000022
10.0,accessservice.v2.AccessService/Authorize,0,0.00003055861141669723,6.148613967142299e-8,0.00003055861141669723,0,0.037037037037037035
10.0,accessservice.v2.AccessService/Authenticate,0,0.0003768895408059324,7.583290559475501e-7,0.0003768895408059324,0,0.45679012345679004
0.5,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0.00042782055983376114,0.0000016567921852426206,0.0008250825082508251,0,1
1.0,accessservice.v2.AccessService/CheckAlphaFlags,0,0.0005398688016949844,0.0000016567921852426206,0.0008250825082508251,0,1
7.5,servicecontrol.v1.AccessService/Authenticate,0,0.0007528877887788779,0.0000016634727988927925,0.0008250825082508251,0,1
2.5,accessservice.v2.AccessService/CheckAlphaFlags,0,0.0006213584321395103,0.0000016874115395078604,0.0008352687120563909,0,1.0123456790123457
5.0,resourcemanager.v1.transitional.FolderService/List,0,0.00044348184818481846,0.000001974758376944988,0.0009577578128183191,0,1.1608024691358028
0.1,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0.0006600660066006601,0.000002136038484745971,0.001029570549647558,0,1.24783950617284
0.075,resourcemanager.v1.transitional.FolderService/List,0,0.0012223444566678888,0.0000033269455977855845,0.00165016501650165,0,2
0.25,resourcemanager.v1.transitional.FolderService/List,0,0.0005194963940838528,0.000003353993935978964,0.0016501650165016502,0,2
7.5,accessservice.v2.AccessService/Authorize,0,0.0008047101006396937,0.000003604489245410189,0.0017625952410055825,0,2.1362654320987664
0.01,maintenance.v1.MaintenanceService/ExecuteCommand,0,0.0007649839057979873,0.000004061719763472171,0.0017830949761642831,0,2.1611111111111123
0.05,accessservice.v2.AccessService/AuthenticateAbstractToken,0,0.0007741514892229961,0.000005376827214262106,0.0023550503198468023,0.000010313531353135276,2.854320987654324
0.5,accessservice.v2.AccessService/CheckAlphaFlags,0,0.0006519170435562075,0.000005229618036259526,0.00253636474758587,0,3.0740740740740744
2.5,maintenance.v1.MaintenanceService/ExecuteCommand,0,0.0007130342663896018,0.00000679798956945843,0.002861953608741999,0,3.4686877737953017
0.0075,maintenance.v1.MaintenanceService/ExecuteCommand,0,0.0007435928778062991,0.000008284917925852813,0.0035459448722650042,0,4.297685185185186
