le,method,min,max,avg,sum,last,integral
inf,organizationmanager.v1.OsLoginService/CreateProfile,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/CreateExternal,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/Create,0,0,0,0,0,0
inf,iam.v1.workload.oidc.FederationService/Create,0,0,0,0,0,0
inf,iam.v1.workload.FederatedCredentialService/Create,0,0,0,0,0,0
inf,iam.v1.awscompatibility.AccessKeyService/Create,0,0,0,0,0,0
inf,iam.v1.SubjectService/BulkCreateOrUpdate,0,0,0,0,0,0
inf,iam.v1.SubjectContainerService/Create,0,0,0,0,0,0
inf,iam.v1.ServiceAccountService/Create,0,0,0,0,0,0
inf,iam.v1.OAuthClientService/Create,0,0,0,0,0,0
inf,iam.v1.OAuthClientSecretService/Create,0,0,0,0,0,0
inf,iam.v1.KeyService/Create,0,0,0,0,0,0
inf,iam.v1.ApiKeyService/Create,0,0,0,0,0,0
100.0,organizationmanager.v1.OsLoginService/CreateProfile,0,0,0,0,0,0
100.0,organizationmanager.v1.GroupService/CreateExternal,0,0,0,0,0,0
100.0,organizationmanager.v1.GroupService/Create,0,0,0,0,0,0
100.0,iam.v1.workload.oidc.FederationService/Create,0,0,0,0,0,0
100.0,iam.v1.workload.FederatedCredentialService/Create,0,0,0,0,0,0
100.0,iam.v1.awscompatibility.AccessKeyService/Create,0,0,0,0,0,0
100.0,iam.v1.SubjectService/BulkCreateOrUpdate,0,0,0,0,0,0
100.0,iam.v1.SubjectContainerService/Create,0,0,0,0,0,0
100.0,iam.v1.ServiceAccountService/Create,0,0,0,0,0,0
100.0,iam.v1.OAuthClientService/Create,0,0,0,0,0,0
100.0,iam.v1.OAuthClientSecretService/Create,0,0,0,0,0,0
100.0,iam.v1.KeyService/Create,0,0,0,0,0,0
100.0,iam.v1.ApiKeyService/Create,0,0,0,0,0,0
75.0,organizationmanager.v1.OsLoginService/CreateProfile,0,0,0,0,0,0
75.0,iam.v1.workload.oidc.FederationService/Create,0,0,0,0,0,0
75.0,iam.v1.workload.FederatedCredentialService/Create,0,0,0,0,0,0
75.0,iam.v1.awscompatibility.AccessKeyService/Create,0,0,0,0,0,0
