le,method,min,max,avg,sum,last,integral
inf,organizationmanager.v1.console.GroupService/ListMembers,0,0,0,0,0,0
inf,organizationmanager.v1.console.GroupService/List,0,0,0,0,0,0
inf,organizationmanager.v1.OsLoginService/ListProfiles,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/ListOperations,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/ListMembers,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/ListExternal,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/ListEffective,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/ListAccessBindings,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/List,0,0,0,0,0,0
inf,iam.v1.workload.oidc.FederationService/List,0,0,0,0,0,0
inf,iam.v1.workload.FederatedCredentialService/ListByFederation,0,0,0,0,0,0
inf,iam.v1.workload.FederatedCredentialService/List,0,0,0,0,0,0
inf,iam.v1.inner.ServiceRegistryService/ListServicesWithVersions,0,0,0,0,0,0
inf,iam.v1.console.RoleService/List,0,0,0,0,0,0
inf,iam.v1.console.MembershipService/ListMembers,0,0,0,0,0,0
inf,iam.v1.console.AccessBindingService/ListBySubject,0,0,0,0,0,0
inf,iam.v1.console.AccessBindingService/ListAccessBindings,0,0,0,0,0,0
inf,iam.v1.backoffice.AccessBindingService/ListHistory,0,0,0,0,0,0
inf,iam.v1.backoffice.AccessBindingService/ListBySubject,0,0,0,0,0,0
inf,iam.v1.awscompatibility.AccessKeyService/ListOperations,0,0,0,0,0,0
inf,iam.v1.awscompatibility.AccessKeyService/ListByFingerprint,0,0,0,0,0,0
inf,iam.v1.awscompatibility.AccessKeyService/List,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/ListSystemServiceAccounts,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/ListSystemFolders,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/ListSettings,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/ListServiceAgents,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/ListReferences,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/List,0,0,0,0,0,0
inf,iam.v1.ServiceAccountService/ListReferences,0,0,0,0,0,0
inf,iam.v1.ServiceAccountService/ListOperations,0,0,0,0,0,0
inf,iam.v1.ServiceAccountService/ListAccessBindings,0,0,0,0,0,0
inf,iam.v1.ServiceAccountService/List,0,0,0,0,0,0
inf,iam.v1.RootService/ListAccessBindings,0,0,0,0,0,0
inf,iam.v1.RoleService/ListCategories,0,0,0,0,0,0
inf,iam.v1.RoleService/List,0,0,0,0,0,0
inf,iam.v1.RestrictionTypeService/ListAccessBindings,0,0,0,0,0,0
inf,iam.v1.RestrictionTypeService/List,0,0,0,0,0,0
