le,method,min,max,avg,sum,last,integral
inf,organizationmanager.v1.OsLoginService/UpdateSettings,0,0,0,0,0,0
inf,organizationmanager.v1.OsLoginService/UpdateProfile,0,0,0,0,0,0
inf,organizationmanager.v1.OsLoginService/DeleteProfile,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/UpdateReferences,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/UpdateMembers,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/UpdateAccessBindings,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/Update,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/Delete,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/ConvertToExternal,0,0,0,0,0,0
inf,organizationmanager.v1.GroupService/ConvertAllToBasic,0,0,0,0,0,0
inf,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
inf,iam.v1.workload.oidc.FederationService/Update,0,0,0,0,0,0
inf,iam.v1.workload.oidc.FederationService/SetAccessBindings,0,0,0,0,0,0
inf,iam.v1.workload.oidc.FederationService/Delete,0,0,0,0,0,0
inf,iam.v1.workload.FederatedCredentialService/Delete,0,0,0,0,0,0
inf,iam.v1.backoffice.PermissionService/Check,0,0,0,0,0,0
inf,iam.v1.awscompatibility.AccessKeyService/Update,0,0,0,0,0,0
inf,iam.v1.awscompatibility.AccessKeyService/Delete,0,0,0,0,0,0
inf,iam.v1.YandexPassportUserAccountService/AddUserAccounts,0,0,0,0,0,0
inf,iam.v1.UserAccountService/UpdateSettings,0,0,0,0,0,0
inf,iam.v1.UserAccountService/Delete,0,0,0,0,0,0
inf,iam.v1.SubjectService/BulkUpdate,0,0,0,0,0,0
inf,iam.v1.SubjectService/BulkSuspend,0,0,0,0,0,0
inf,iam.v1.SubjectService/BulkReactivate,0,0,0,0,0,0
inf,iam.v1.SubjectService/BulkMerge,0,0,0,0,0,0
inf,iam.v1.SubjectService/BulkDelete,0,0,0,0,0,0
inf,iam.v1.SubjectLastIdProofService/Update,0,0,0,0,0,0
inf,iam.v1.SubjectContainerService/Update,0,0,0,0,0,0
inf,iam.v1.SubjectContainerService/Delete,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/Upgrade,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/UpdateReferences,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/FindAgent,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/Enable,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/Disable,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/DeleteSystemFolder,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/Delete,0,0,0,0,0,0
inf,iam.v1.ServiceControlService/CanEnsureEnabled,0,0,0,0,0,0
inf,iam.v1.ServiceAccountService/UpdateReferences,0,0,0,0,0,0
inf,iam.v1.ServiceAccountService/UpdateAccessBindings,0,0,0,0,0,0
inf,iam.v1.ServiceAccountService/Update,0,0,0,0,0,0
inf,iam.v1.ServiceAccountService/SetAccessBindings,0,0,0,0,0,0
inf,iam.v1.ServiceAccountService/Delete,0,0,0,0,0,0
inf,iam.v1.RootService/UpdateAccessBindings,0,0,0,0,0,0
inf,iam.v1.RestrictionService/RemoveIfPresent,0,0,0,0,0,0
inf,iam.v1.RestrictionService/RemoveAll,0,0,0,0,0,0
inf,iam.v1.RestrictionService/FilterRestrictedResources,0,0,0,0,0,0
inf,iam.v1.RestrictionService/AddIfAbsent,0,0,0,0,0,0
inf,iam.v1.RefreshTokenService/Revoke,0,0,0,0,0,0
inf,iam.v1.QuotaLimitService/Update,0,0,0,0,0,0
inf,iam.v1.OAuthClientService/Update,0,0,0,0,0,0
inf,iam.v1.OAuthClientService/Delete,0,0,0,0,0,0
inf,iam.v1.OAuthClientSecretService/Delete,0,0,0,0,0,0
inf,iam.v1.OAuthClientResourceReaperService/DeleteFolderResources,0,0,0,0,0,0
inf,iam.v1.MembershipService/RemoveResourceMembers,0,0,0,0,0,0
inf,iam.v1.MembershipService/FilterResourceMembers,0,0,0,0,0,0
inf,iam.v1.MembershipService/AddResourceMembers,0,0,0,0,0,0
inf,iam.v1.KeyService/Update,0,0,0,0,0,0
inf,iam.v1.KeyService/Delete,0,0,0,0,0,0
inf,iam.v1.GizmoService/UpdateAccessBindings,0,0,0,0,0,0
inf,iam.v1.ApiKeyService/Update,0,0,0,0,0,0
inf,iam.v1.ApiKeyService/Delete,0,0,0,0,0,0
inf,iam.v1.AccessPolicyBindingService/UnbindAllAccessPolicies,0,0,0,0,0,0
inf,iam.v1.AccessBindingService/UpdateAccessBindings,0,0,0,0,0,0
inf,iam.v1.AccessBindingService/SetAccessBindings,0,0,0,0,0,0
inf,iam.v1.AccessBindingService/DeleteByTopLevelResource,0,0,0,0,0,0
inf,iam.v1.AccessBindingService/DeleteByCloud,0,0,0,0,0,0
inf,iam.v1.AccessBindingService/CheckLikelyPubliclyAccessible,0,0,0,0,0,0
inf,iam.v1.AccessBindingService/ChangeTopLevelResource,0,0,0,0,0,0
100.0,organizationmanager.v1.OsLoginService/UpdateSettings,0,0,0,0,0,0
100.0,organizationmanager.v1.OsLoginService/UpdateProfile,0,0,0,0,0,0
100.0,organizationmanager.v1.OsLoginService/DeleteProfile,0,0,0,0,0,0
100.0,organizationmanager.v1.GroupService/UpdateReferences,0,0,0,0,0,0
100.0,organizationmanager.v1.GroupService/UpdateMembers,0,0,0,0,0,0
100.0,organizationmanager.v1.GroupService/UpdateAccessBindings,0,0,0,0,0,0
100.0,organizationmanager.v1.GroupService/Update,0,0,0,0,0,0
100.0,organizationmanager.v1.GroupService/Delete,0,0,0,0,0,0
100.0,organizationmanager.v1.GroupService/ConvertToExternal,0,0,0,0,0,0
100.0,organizationmanager.v1.GroupService/ConvertAllToBasic,0,0,0,0,0,0
100.0,maintenance.v1.MaintenanceService/ExecuteCommand,0,0,0,0,0,0
100.0,iam.v1.workload.oidc.FederationService/Update,0,0,0,0,0,0
100.0,iam.v1.workload.oidc.FederationService/SetAccessBindings,0,0,0,0,0,0
100.0,iam.v1.workload.oidc.FederationService/Delete,0,0,0,0,0,0
