le,method,min,max,avg,sum,last,integral
inf,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
inf,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
100,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
100,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
75,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
75,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
50,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
50,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
25,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
25,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
10,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
10,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
7.5,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
7.5,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
5,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
5,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
2.5,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
2.5,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
1,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
1,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
0.75,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
0.75,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
0.5,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
0.5,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
0.25,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
0.25,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
0.1,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
0.1,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
0.075,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
0.075,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
0.05,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
0.05,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
0.025,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
0.025,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
0.01,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
0.01,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
0.0075,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
0.0075,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
0.005,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
0.005,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
0.0025,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
0.0025,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
0.001,organizationmanager.v1.idp.SubscriptionService/Get,NaN,NaN,NaN,0,NaN,0
0.001,billing.integration.v2.ServiceInstanceService/Get,NaN,NaN,NaN,0,NaN,0
inf,saas.v1.OperationService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.idp.console.UserAuditLogService/List,0,0,0,0,0,0
inf,organizationmanager.v1.idp.console.ApplicationService/List,0,0,0,0,0,0
inf,organizationmanager.v1.idp.application.saml.SignatureCertificateService/List,0,0,0,0,0,0
inf,organizationmanager.v1.idp.application.saml.SignatureCertificateService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.idp.application.saml.ApplicationService/ListSupportedAttributeValues,0,0,0,0,0,0
inf,organizationmanager.v1.idp.application.saml.ApplicationService/ListAssignments,0,0,0,0,0,0
inf,organizationmanager.v1.idp.application.saml.ApplicationService/List,0,0,0,0,0,0
inf,organizationmanager.v1.idp.application.saml.ApplicationService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.idp.application.oauth.ApplicationService/ListOperations,0,0,0,0,0,0
inf,organizationmanager.v1.idp.application.oauth.ApplicationService/ListAssignments,0,0,0,0,0,0
inf,organizationmanager.v1.idp.application.oauth.ApplicationService/ListAccessBindings,0,0,0,0,0,0
inf,organizationmanager.v1.idp.application.oauth.ApplicationService/List,0,0,0,0,0,0
inf,organizationmanager.v1.idp.application.oauth.ApplicationService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.idp.application.ApplicationService/ListAssignments,0,0,0,0,0,0
inf,organizationmanager.v1.idp.UserpoolService/ListDomains,0,0,0,0,0,0
inf,organizationmanager.v1.idp.UserpoolService/List,0,0,0,0,0,0
inf,organizationmanager.v1.idp.UserpoolService/GetDomain,0,0,0,0,0,0
inf,organizationmanager.v1.idp.UserpoolService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.idp.UserService/List,0,0,0,0,0,0
inf,organizationmanager.v1.idp.UserService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.idp.QuotaLimitService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.idp.OperationService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.idp.BillingService/ListBillableEntities,0,0,0,0,0,0
inf,billing.integration.v2.OperationService/Get,0,0,0,0,0,0
100,saas.v1.OperationService/Get,0,0,0,0,0,0
100,organizationmanager.v1.idp.console.UserAuditLogService/List,0,0,0,0,0,0
100,organizationmanager.v1.idp.console.ApplicationService/List,0,0,0,0,0,0
100,organizationmanager.v1.idp.application.saml.SignatureCertificateService/List,0,0,0,0,0,0
100,organizationmanager.v1.idp.application.saml.SignatureCertificateService/Get,0,0,0,0,0,0
100,organizationmanager.v1.idp.application.saml.ApplicationService/ListSupportedAttributeValues,0,0,0,0,0,0
100,organizationmanager.v1.idp.application.saml.ApplicationService/ListAssignments,0,0,0,0,0,0
100,organizationmanager.v1.idp.application.saml.ApplicationService/List,0,0,0,0,0,0
100,organizationmanager.v1.idp.application.saml.ApplicationService/Get,0,0,0,0,0,0
100,organizationmanager.v1.idp.application.oauth.ApplicationService/ListOperations,0,0,0,0,0,0
100,organizationmanager.v1.idp.application.oauth.ApplicationService/ListAssignments,0,0,0,0,0,0
100,organizationmanager.v1.idp.application.oauth.ApplicationService/ListAccessBindings,0,0,0,0,0,0
100,organizationmanager.v1.idp.application.oauth.ApplicationService/List,0,0,0,0,0,0
100,organizationmanager.v1.idp.application.oauth.ApplicationService/Get,0,0,0,0,0,0
100,organizationmanager.v1.idp.application.ApplicationService/ListAssignments,0,0,0,0,0,0
100,organizationmanager.v1.idp.UserpoolService/ListDomains,0,0,0,0,0,0
100,organizationmanager.v1.idp.UserpoolService/List,0,0,0,0,0,0
100,organizationmanager.v1.idp.UserpoolService/GetDomain,0,0,0,0,0,0
100,organizationmanager.v1.idp.UserpoolService/Get,0,0,0,0,0,0
100,organizationmanager.v1.idp.UserService/List,0,0,0,0,0,0
100,organizationmanager.v1.idp.UserService/Get,0,0,0,0,0,0
100,organizationmanager.v1.idp.QuotaLimitService/Get,0,0,0,0,0,0
100,organizationmanager.v1.idp.OperationService/Get,0,0,0,0,0,0
100,organizationmanager.v1.idp.BillingService/ListBillableEntities,0,0,0,0,0,0
100,billing.integration.v2.OperationService/Get,0,0,0,0,0,0
75,saas.v1.OperationService/Get,0,0,0,0,0,0
75,organizationmanager.v1.idp.console.UserAuditLogService/List,0,0,0,0,0,0
75,organizationmanager.v1.idp.console.ApplicationService/List,0,0,0,0,0,0
75,organizationmanager.v1.idp.application.saml.SignatureCertificateService/List,0,0,0,0,0,0
75,organizationmanager.v1.idp.application.saml.SignatureCertificateService/Get,0,0,0,0,0,0
75,organizationmanager.v1.idp.application.saml.ApplicationService/ListSupportedAttributeValues,0,0,0,0,0,0
75,organizationmanager.v1.idp.application.saml.ApplicationService/ListAssignments,0,0,0,0,0,0
75,organizationmanager.v1.idp.application.saml.ApplicationService/List,0,0,0,0,0,0
75,organizationmanager.v1.idp.application.saml.ApplicationService/Get,0,0,0,0,0,0
75,organizationmanager.v1.idp.application.oauth.ApplicationService/ListOperations,0,0,0,0,0,0
75,organizationmanager.v1.idp.application.oauth.ApplicationService/ListAssignments,0,0,0,0,0,0
75,organizationmanager.v1.idp.application.oauth.ApplicationService/ListAccessBindings,0,0,0,0,0,0
75,organizationmanager.v1.idp.application.oauth.ApplicationService/List,0,0,0,0,0,0
75,organizationmanager.v1.idp.application.oauth.ApplicationService/Get,0,0,0,0,0,0
