le,method,min,max,avg,sum,last,integral
inf,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0,0,0,0,0
inf,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
inf,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
inf,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
inf,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
inf,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
inf,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
inf,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
inf,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0,0,0,0,0
100.0,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0,0,0,0,0
100.0,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
100.0,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
100.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
100.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
100.0,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
100.0,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
100.0,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
100.0,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0,0,0,0,0
75.0,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0,0,0,0,0
75.0,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
75.0,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
75.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
75.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
75.0,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
75.0,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
75.0,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
75.0,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0,0,0,0,0
50.0,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0,0,0,0,0
50.0,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
50.0,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
50.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
50.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
50.0,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
50.0,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
50.0,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
50.0,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0,0,0,0,0
25.0,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0,0,0,0,0
25.0,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
25.0,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
25.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
25.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
25.0,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
25.0,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
25.0,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
25.0,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0,0,0,0,0
10.0,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0,0,0,0,0
10.0,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
10.0,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
10.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
10.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
10.0,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
10.0,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
10.0,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
10.0,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0,0,0,0,0
7.5,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0,0,0,0,0
7.5,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
7.5,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
7.5,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
7.5,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
7.5,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
7.5,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
7.5,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
7.5,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0,0,0,0,0
5.0,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
5.0,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
5.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
5.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
5.0,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
5.0,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
5.0,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
5.0,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0,0,0,0,0
2.5,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
2.5,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
2.5,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
2.5,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
2.5,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
2.5,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
2.5,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0,0,0,0,0
1.0,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
1.0,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
1.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
1.0,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
1.0,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
1.0,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
0.75,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
0.75,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
0.75,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
0.75,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
0.75,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
0.75,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
0.5,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
0.5,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
0.5,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
0.25,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
0.1,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
0.1,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
0.1,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
0.075,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
0.075,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
0.075,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
0.05,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
0.025,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
0.025,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
0.025,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
0.025,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
0.01,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
0.01,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
0.01,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
0.01,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
0.01,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
0.01,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
0.01,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0,0,0,0,0
0.0075,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
0.0075,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
0.0075,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
0.0075,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
0.0075,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
0.0075,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
0.0075,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
0.0075,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0,0,0,0,0
0.005,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
0.005,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
0.005,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
0.005,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
0.005,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
0.005,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
0.0025,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
0.0025,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
0.0025,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
0.0025,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
0.0025,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
0.0025,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
0.0025,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
0.001,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0,0,0,0,0
0.001,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0,0,0,0,0
0.001,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0,0,0,0,0
0.001,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0,0,0,0,0
0.001,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0,0,0,0,0
0.001,iam.v1.mfa.WebAuthnProfileService/Get,0,0,0,0,0,0
0.001,iam.v1.mfa.UserCredentialService/List,0,0,0,0,0,0
0.001,iam.v1.mfa.TotpProfileService/GetForSubject,0,0,0,0,0,0
0.001,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0,0,0,0,0
0.25,iam.v1.mfa.WebAuthnProfileService/Get,0,0.000014225560487083219,0.000014225560487083219,0.000014225560487083219,0.000014225560487083219,0.017241379310344862
0.005,iam.v1.mfa.UserCredentialService/List,0,0.000020372407611131575,4.0990759780948845e-8,0.000020372407611131575,0,0.024691358024691468
0.05,iam.v1.mfa.console.AuthenticationContextClassReferenceService/List,0,0.000026615564782284656,6.035275460835523e-8,0.000026615564782284656,0,0.032258064516129004
0.025,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0.000020372407611131575,1.0377712718576506e-7,0.00005105834657539641,0,0.06188271604938045
1.0,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0.00004267668146124975,1.8974702031710196e-7,0.00009373502803664837,0,0.06188271604938311
0.05,iam.v1.mfa.WebAuthnProfileService/Get,0,0.00008535336292249914,0.00008535336292249914,0.00008535336292249914,0.00008535336292249914,0.10344827586206895
0.01,iam.v1.mfa.UserCredentialService/List,0,0.0006315446359450761,0.0000016567921852426206,0.0008250825082508251,0,1
0.01,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0.0006417308397506418,0.0000019099132135435767,0.0008250825082508251,0,1
0.025,iam.v1.mfa.TotpProfileService/GetForSubject,0,0.0006213584321395103,0.0000016567921852426206,0.0008250825082508251,0,1
0.025,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0.0005704274131116815,0.0000016567921852426206,0.0008250825082508251,0.0002546550951391436,1
0.1,iam.v1.mfa.TotpProfileService/GetForSubject,0,0.0005093101902782872,0.0000016567921852426206,0.0008250825082508251,0,1
0.5,iam.v1.mfa.WebAuthnProfileService/ListForSubject,0,0.0008250825082508251,0.0000016567921852426206,0.0008250825082508251,0,1
0.0025,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0.0007945238968341278,0.000003326945597785585,0.0016501650165016502,0,2
0.05,iam.v1.mfa.TotpProfileService/GetForSubject,0,0.0008148963044452593,0.0000033135843704852412,0.0016501650165016502,0,2
2.5,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0.0006188118811881188,0.0000033135843704852412,0.0016501650165016502,0,2
5.0,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0.0008047101006396936,0.0000038198264270871534,0.0016501650165016502,0,2
0.075,iam.v1.mfa.TotpProfileService/GetForSubject,0,0.0008250825082508251,0.000004970376555727862,0.0024752475247524753,0,3
0.5,iam.v1.mfa.UserCredentialService/List,0,0.0007741514892229964,0.000004970376555727861,0.002475247524752475,0,3
0.05,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0.0007945238968341279,0.00000506235883294716,0.0025159923399747383,0,3.049382716049383
0.75,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0.0012293474717842148,0.000007158090214995703,0.00351462229556289,0,3.8646604938271594
0.0075,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0.0007741514892229964,0.000007639652854174307,0.0033003300330033004,0,4
0.25,iam.v1.mfa.TotpProfileService/GetForSubject,0,0.0011001100110010998,0.000009980836793356755,0.0049504950495049506,0,6
0.005,iam.v1.mfa.MfaProfileService/GetProfilesConfig,0,0.003052805280528052,0.000010227954793669,0.005021925803691479,0,6.086574074074072
0.5,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0.0013242064947235465,0.000011597545296698343,0.005775577557755775,0,7
1.0,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialRequestOptions,0,0.0011001100110011003,0.000013254337481940963,0.0066006600660066,0,8
0.075,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0.0014769995518070325,0.000013458135937050498,0.006661777288839996,0,8.074074074074074
0.1,iam.v1.mfa.WebAuthnProfileService/GetPublicKeyCredentialCreationOptions,0,0.0016398514851485146,0.000019881506222911444,0.0099009900990099,0,12
0.025,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0.0007741514892229961,0.0000248288717760665,0.010726072607260728,0,13
2.5,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0.0014116805199038418,0.000025028282668431832,0.01078718983009412,0,13.074074074074074
1.0,iam.v1.mfa.console.MfaStepUpService/GetRequiredAction,0,0.001446440940390336,0.000026738784989610078,0.011551155115511554,0,14
