le,method,min,max,avg,sum,last,integral
inf,zyviez_unknown,NaN,NaN,NaN,0,NaN,0
inf,xawndt_unknown,NaN,NaN,NaN,0,NaN,0
inf,wtsahb_unknown,NaN,NaN,NaN,0,NaN,0
inf,track_unknown,NaN,NaN,NaN,0,NaN,0
inf,trace_unknown,NaN,NaN,NaN,0,NaN,0
inf,tpewev_unknown,NaN,NaN,NaN,0,NaN,0
inf,search_unknown,NaN,NaN,NaN,0,NaN,0
inf,put_/federations/federationId,NaN,NaN,NaN,0,NaN,0
inf,propfind_unknown,NaN,NaN,NaN,0,NaN,0
inf,pri_unknown,NaN,NaN,NaN,0,NaN,0
inf,nessus_unknown,NaN,NaN,NaN,0,NaN,0
inf,hlgemh_unknown,NaN,NaN,NaN,0,NaN,0
inf,get_/oauth/attest_dpop,NaN,NaN,NaN,0,NaN,0
inf,get_/login,NaN,NaN,NaN,0,NaN,0
inf,dgeqqd_unknown,NaN,NaN,NaN,0,NaN,0
100.0,zyviez_unknown,NaN,NaN,NaN,0,NaN,0
100.0,xawndt_unknown,NaN,NaN,NaN,0,NaN,0
100.0,wtsahb_unknown,NaN,NaN,NaN,0,NaN,0
100.0,track_unknown,NaN,NaN,NaN,0,NaN,0
100.0,trace_unknown,NaN,NaN,NaN,0,NaN,0
100.0,tpewev_unknown,NaN,NaN,NaN,0,NaN,0
100.0,search_unknown,NaN,NaN,NaN,0,NaN,0
100.0,put_/federations/federationId,NaN,NaN,NaN,0,NaN,0
100.0,propfind_unknown,NaN,NaN,NaN,0,NaN,0
100.0,pri_unknown,NaN,NaN,NaN,0,NaN,0
100.0,nessus_unknown,NaN,NaN,NaN,0,NaN,0
100.0,hlgemh_unknown,NaN,NaN,NaN,0,NaN,0
100.0,get_/oauth/attest_dpop,NaN,NaN,NaN,0,NaN,0
100.0,get_/login,NaN,NaN,NaN,0,NaN,0
100.0,dgeqqd_unknown,NaN,NaN,NaN,0,NaN,0
75.0,zyviez_unknown,NaN,NaN,NaN,0,NaN,0
75.0,xawndt_unknown,NaN,NaN,NaN,0,NaN,0
75.0,wtsahb_unknown,NaN,NaN,NaN,0,NaN,0
75.0,track_unknown,NaN,NaN,NaN,0,NaN,0
75.0,trace_unknown,NaN,NaN,NaN,0,NaN,0
75.0,tpewev_unknown,NaN,NaN,NaN,0,NaN,0
75.0,search_unknown,NaN,NaN,NaN,0,NaN,0
75.0,put_/federations/federationId,NaN,NaN,NaN,0,NaN,0
75.0,propfind_unknown,NaN,NaN,NaN,0,NaN,0
75.0,pri_unknown,NaN,NaN,NaN,0,NaN,0
75.0,nessus_unknown,NaN,NaN,NaN,0,NaN,0
75.0,hlgemh_unknown,NaN,NaN,NaN,0,NaN,0
75.0,get_/oauth/attest_dpop,NaN,NaN,NaN,0,NaN,0
75.0,get_/login,NaN,NaN,NaN,0,NaN,0
75.0,dgeqqd_unknown,NaN,NaN,NaN,0,NaN,0
50.0,zyviez_unknown,NaN,NaN,NaN,0,NaN,0
50.0,xawndt_unknown,NaN,NaN,NaN,0,NaN,0
50.0,wtsahb_unknown,NaN,NaN,NaN,0,NaN,0
50.0,track_unknown,NaN,NaN,NaN,0,NaN,0
50.0,trace_unknown,NaN,NaN,NaN,0,NaN,0
50.0,tpewev_unknown,NaN,NaN,NaN,0,NaN,0
50.0,search_unknown,NaN,NaN,NaN,0,NaN,0
50.0,put_/federations/federationId,NaN,NaN,NaN,0,NaN,0
50.0,propfind_unknown,NaN,NaN,NaN,0,NaN,0
50.0,pri_unknown,NaN,NaN,NaN,0,NaN,0
50.0,nessus_unknown,NaN,NaN,NaN,0,NaN,0
50.0,hlgemh_unknown,NaN,NaN,NaN,0,NaN,0
50.0,get_/oauth/attest_dpop,NaN,NaN,NaN,0,NaN,0
50.0,get_/login,NaN,NaN,NaN,0,NaN,0
50.0,dgeqqd_unknown,NaN,NaN,NaN,0,NaN,0
25.0,zyviez_unknown,NaN,NaN,NaN,0,NaN,0
25.0,xawndt_unknown,NaN,NaN,NaN,0,NaN,0
25.0,wtsahb_unknown,NaN,NaN,NaN,0,NaN,0
25.0,track_unknown,NaN,NaN,NaN,0,NaN,0
25.0,trace_unknown,NaN,NaN,NaN,0,NaN,0
25.0,tpewev_unknown,NaN,NaN,NaN,0,NaN,0
25.0,search_unknown,NaN,NaN,NaN,0,NaN,0
25.0,put_/federations/federationId,NaN,NaN,NaN,0,NaN,0
25.0,propfind_unknown,NaN,NaN,NaN,0,NaN,0
25.0,pri_unknown,NaN,NaN,NaN,0,NaN,0
25.0,nessus_unknown,NaN,NaN,NaN,0,NaN,0
25.0,hlgemh_unknown,NaN,NaN,NaN,0,NaN,0
25.0,get_/oauth/attest_dpop,NaN,NaN,NaN,0,NaN,0
25.0,get_/login,NaN,NaN,NaN,0,NaN,0
25.0,dgeqqd_unknown,NaN,NaN,NaN,0,NaN,0
10.0,zyviez_unknown,NaN,NaN,NaN,0,NaN,0
10.0,xawndt_unknown,NaN,NaN,NaN,0,NaN,0
10.0,wtsahb_unknown,NaN,NaN,NaN,0,NaN,0
10.0,track_unknown,NaN,NaN,NaN,0,NaN,0
10.0,trace_unknown,NaN,NaN,NaN,0,NaN,0
