le,method,min,max,avg,sum,last,integral
inf,organizationmanager.v1.saml.FederationService/ListUserAccounts,0,0,0,0,0,0
inf,organizationmanager.v1.saml.FederationService/ListServiceProviderCertificates,0,0,0,0,0,0
inf,organizationmanager.v1.saml.FederationService/ListOperations,0,0,0,0,0,0
inf,organizationmanager.v1.saml.FederationService/ListDomains,0,0,0,0,0,0
inf,organizationmanager.v1.saml.FederationService/List,0,0,0,0,0,0
inf,organizationmanager.v1.saml.FederationService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.saml.CertificateService/ListOperations,0,0,0,0,0,0
inf,organizationmanager.v1.saml.CertificateService/List,0,0,0,0,0,0
inf,organizationmanager.v1.saml.CertificateService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.resolve.OrganizationService/Resolve,0,0,0,0,0,0
inf,organizationmanager.v1.region.OrganizationSyncService/GetStatus,0,0,0,0,0,0
inf,organizationmanager.v1.region.DiscoveryService/ResolveSubject,0,0,0,0,0,0
inf,organizationmanager.v1.region.DiscoveryService/ResolveFederationCrossRegion,0,0,0,0,0,0
inf,organizationmanager.v1.region.DiscoveryService/ListOrganizationsRegional,0,0,0,0,0,0
inf,organizationmanager.v1.region.DiscoveryService/ListOrganizationsCrossRegion,0,0,0,0,0,0
inf,organizationmanager.v1.region.DiscoveryService/GetSubjectReference,0,0,0,0,0,0
inf,organizationmanager.v1.region.DiscoveryService/GetCloudTreeRegional,0,0,0,0,0,0
inf,organizationmanager.v1.region.DiscoveryService/GetCloudTreeCrossRegion,0,0,0,0,0,0
inf,organizationmanager.v1.region.DiscoveryService/BatchResolveFederations,0,0,0,0,0,0
inf,organizationmanager.v1.policy.RefreshTokenPolicyService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.oauth.FederationService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.domain.DomainService/Resolve,0,0,0,0,0,0
inf,organizationmanager.v1.domain.DomainService/List,0,0,0,0,0,0
inf,organizationmanager.v1.domain.DomainService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.console.OrganizationService/GetSettings,0,0,0,0,0,0
inf,organizationmanager.v1.UserSshKeyService/List,0,0,0,0,0,0
inf,organizationmanager.v1.UserSshKeyService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.UserService/ListMembers,0,0,0,0,0,0
inf,organizationmanager.v1.SubscriptionService/ListSubscribers,0,0,0,0,0,0
inf,organizationmanager.v1.SshKeyService/List,0,0,0,0,0,0
inf,organizationmanager.v1.SshKeyService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.QuotaLimitService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/Resolve,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/ListRestrictions,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/ListOperations,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/ListAccessBindings,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/List,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/GetTwoFactorAuthenticationPassportRequired,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/GetRestriction,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/GetPermissionStages,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/BatchGet,0,0,0,0,0,0
inf,organizationmanager.v1.OperationService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.MfaEnforcementService/ListAudience,0,0,0,0,0,0
inf,organizationmanager.v1.MfaEnforcementService/List,0,0,0,0,0,0
inf,organizationmanager.v1.MfaEnforcementService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.InvitationService/ListIncomingInvitations,0,0,0,0,0,0
inf,organizationmanager.v1.InvitationService/ListForOrganization,0,0,0,0,0,0
inf,organizationmanager.v1.InvitationService/GetByCode,0,0,0,0,0,0
inf,organizationmanager.v1.GroupMappingService/ListItems,0,0,0,0,0,0
inf,organizationmanager.v1.GroupMappingService/Get,0,0,0,0,0,0
100.0,organizationmanager.v1.saml.FederationService/ListUserAccounts,0,0,0,0,0,0
100.0,organizationmanager.v1.saml.FederationService/ListServiceProviderCertificates,0,0,0,0,0,0
100.0,organizationmanager.v1.saml.FederationService/ListOperations,0,0,0,0,0,0
100.0,organizationmanager.v1.saml.FederationService/ListDomains,0,0,0,0,0,0
100.0,organizationmanager.v1.saml.FederationService/List,0,0,0,0,0,0
100.0,organizationmanager.v1.saml.FederationService/Get,0,0,0,0,0,0
100.0,organizationmanager.v1.saml.CertificateService/ListOperations,0,0,0,0,0,0
100.0,organizationmanager.v1.saml.CertificateService/List,0,0,0,0,0,0
