le,method,min,max,avg,sum,last,integral
inf,organizationmanager.v1.OrganizationService/UpdatePermissionStages,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/UpdateAccessBindings,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/Update,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/SetTwoFactorAuthenticationPassportRequired,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/SetAccessBindings,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/Resolve,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/RemoveRestriction,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/ListRestrictions,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/ListOperations,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/ListAccessBindings,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/List,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/GetTwoFactorAuthenticationPassportRequired,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/GetRestriction,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/GetPermissionStages,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/Get,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/Delete,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/Create,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/BatchGet,0,0,0,0,0,0
inf,organizationmanager.v1.OrganizationService/AddRestriction,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/UpdatePermissionStages,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/UpdateAccessBindings,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/Update,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/SetTwoFactorAuthenticationPassportRequired,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/SetAccessBindings,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/Resolve,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/RemoveRestriction,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/ListRestrictions,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/ListOperations,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/ListAccessBindings,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/List,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/GetTwoFactorAuthenticationPassportRequired,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/GetRestriction,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/GetPermissionStages,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/Get,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/Delete,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/Create,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/BatchGet,0,0,0,0,0,0
100.0,organizationmanager.v1.OrganizationService/AddRestriction,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/UpdatePermissionStages,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/UpdateAccessBindings,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/Update,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/SetTwoFactorAuthenticationPassportRequired,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/SetAccessBindings,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/Resolve,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/RemoveRestriction,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/ListRestrictions,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/ListOperations,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/ListAccessBindings,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/List,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/GetTwoFactorAuthenticationPassportRequired,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/GetRestriction,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/GetPermissionStages,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/Get,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/Delete,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/Create,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/BatchGet,0,0,0,0,0,0
75.0,organizationmanager.v1.OrganizationService/AddRestriction,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/UpdatePermissionStages,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/UpdateAccessBindings,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/Update,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/SetTwoFactorAuthenticationPassportRequired,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/SetAccessBindings,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/Resolve,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/RemoveRestriction,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/ListRestrictions,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/ListOperations,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/ListAccessBindings,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/List,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/GetTwoFactorAuthenticationPassportRequired,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/GetRestriction,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/GetPermissionStages,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/Get,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/Delete,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/Create,0,0,0,0,0,0
50.0,organizationmanager.v1.OrganizationService/BatchGet,0,0,0,0,0,0
