le,method,min,max,avg,sum,last,integral
inf,organizationmanager.v1.console.OsLoginService/GetSettings,0,0,0,0,0,0
inf,organizationmanager.v1.SshCertificateService/Generate,0,0,0,0,0,0
inf,iam.v1.compute.OsLoginService/ListProfiles,0,0,0,0,0,0
inf,iam.v1.compute.OsLoginService/Get,0,0,0,0,0,0
100.0,organizationmanager.v1.console.OsLoginService/GetSettings,0,0,0,0,0,0
100.0,organizationmanager.v1.SshCertificateService/Generate,0,0,0,0,0,0
100.0,iam.v1.compute.OsLoginService/ListProfiles,0,0,0,0,0,0
100.0,iam.v1.compute.OsLoginService/Get,0,0,0,0,0,0
75.0,organizationmanager.v1.console.OsLoginService/GetSettings,0,0,0,0,0,0
75.0,organizationmanager.v1.SshCertificateService/Generate,0,0,0,0,0,0
75.0,iam.v1.compute.OsLoginService/ListProfiles,0,0,0,0,0,0
75.0,iam.v1.compute.OsLoginService/Get,0,0,0,0,0,0
50.0,organizationmanager.v1.console.OsLoginService/GetSettings,0,0,0,0,0,0
50.0,organizationmanager.v1.SshCertificateService/Generate,0,0,0,0,0,0
50.0,iam.v1.compute.OsLoginService/ListProfiles,0,0,0,0,0,0
50.0,iam.v1.compute.OsLoginService/Get,0,0,0,0,0,0
25.0,iam.v1.compute.OsLoginService/ListProfiles,0,0,0,0,0,0
25.0,iam.v1.compute.OsLoginService/Get,0,0,0,0,0,0
10.0,organizationmanager.v1.SshCertificateService/Generate,0,0,0,0,0,0
10.0,iam.v1.compute.OsLoginService/ListProfiles,0,0,0,0,0,0
10.0,iam.v1.compute.OsLoginService/Get,0,0,0,0,0,0
7.5,organizationmanager.v1.SshCertificateService/Generate,0,0,0,0,0,0
7.5,iam.v1.compute.OsLoginService/Get,0,0,0,0,0,0
5.0,organizationmanager.v1.SshCertificateService/Generate,0,0,0,0,0,0
0.025,organizationmanager.v1.SshCertificateService/Generate,0,0,0,0,0,0
0.001,organizationmanager.v1.console.OsLoginService/GetSettings,0,0,0,0,0,0
0.001,organizationmanager.v1.SshCertificateService/Generate,0,0,0,0,0,0
0.001,iam.v1.compute.OsLoginService/ListProfiles,0,0,0,0,0,0
0.01,organizationmanager.v1.SshCertificateService/Generate,0,0.0006621032473617732,0.0000016567921852426206,0.0008250825082508251,0,1
5.0,iam.v1.compute.OsLoginService/Get,0,0.0005398688016949831,0.0000016567921852426206,0.0008250825082508251,0,1
7.5,iam.v1.compute.OsLoginService/ListProfiles,0,0.0006824756549729047,0.0000016567921852426206,0.0008250825082508251,0,1
0.0075,organizationmanager.v1.SshCertificateService/Generate,0,0.0006111722283339444,0.0000033135843704852412,0.0016501650165016502,0,2
7.5,organizationmanager.v1.console.OsLoginService/GetSettings,0,0.0005907998207228131,0.000003313584370485241,0.00165016501650165,0,2
