le,method,min,max,avg,sum,last,integral
inf,quotamanager.v1.SupportIssueWorkflowService/Get,0,0,0,0,0,0
inf,quotamanager.v1.SupportIssueWorkflowService/Close,0,0,0,0,0,0
inf,quotamanager.v1.QuotaRequestService/Update,0,0,0,0,0,0
inf,quotamanager.v1.QuotaRequestService/ListOperations,0,0,0,0,0,0
inf,quotamanager.v1.QuotaRequestService/List,0,0,0,0,0,0
inf,quotamanager.v1.QuotaRequestService/Get,0,0,0,0,0,0
inf,quotamanager.v1.QuotaRequestService/Delete,0,0,0,0,0,0
inf,quotamanager.v1.QuotaRequestService/Create,0,0,0,0,0,0
inf,quotamanager.v1.QuotaLimitService/ListServices,0,0,0,0,0,0
inf,quotamanager.v1.QuotaLimitService/List,0,0,0,0,0,0
inf,quotamanager.v1.QuotaLimitService/Get,0,0,0,0,0,0
inf,quotamanager.v1.OperationService/Get,0,0,0,0,0,0
100.0,quotamanager.v1.SupportIssueWorkflowService/Get,0,0,0,0,0,0
100.0,quotamanager.v1.SupportIssueWorkflowService/Close,0,0,0,0,0,0
100.0,quotamanager.v1.QuotaRequestService/Update,0,0,0,0,0,0
100.0,quotamanager.v1.QuotaRequestService/ListOperations,0,0,0,0,0,0
100.0,quotamanager.v1.QuotaRequestService/List,0,0,0,0,0,0
100.0,quotamanager.v1.QuotaRequestService/Get,0,0,0,0,0,0
100.0,quotamanager.v1.QuotaRequestService/Delete,0,0,0,0,0,0
100.0,quotamanager.v1.QuotaRequestService/Create,0,0,0,0,0,0
100.0,quotamanager.v1.QuotaLimitService/ListServices,0,0,0,0,0,0
100.0,quotamanager.v1.QuotaLimitService/List,0,0,0,0,0,0
100.0,quotamanager.v1.QuotaLimitService/Get,0,0,0,0,0,0
100.0,quotamanager.v1.OperationService/Get,0,0,0,0,0,0
75.0,quotamanager.v1.SupportIssueWorkflowService/Get,0,0,0,0,0,0
75.0,quotamanager.v1.SupportIssueWorkflowService/Close,0,0,0,0,0,0
75.0,quotamanager.v1.QuotaRequestService/Update,0,0,0,0,0,0
75.0,quotamanager.v1.QuotaRequestService/ListOperations,0,0,0,0,0,0
75.0,quotamanager.v1.QuotaRequestService/List,0,0,0,0,0,0
75.0,quotamanager.v1.QuotaRequestService/Get,0,0,0,0,0,0
75.0,quotamanager.v1.QuotaRequestService/Delete,0,0,0,0,0,0
75.0,quotamanager.v1.QuotaRequestService/Create,0,0,0,0,0,0
75.0,quotamanager.v1.QuotaLimitService/ListServices,0,0,0,0,0,0
75.0,quotamanager.v1.QuotaLimitService/List,0,0,0,0,0,0
75.0,quotamanager.v1.QuotaLimitService/Get,0,0,0,0,0,0
75.0,quotamanager.v1.OperationService/Get,0,0,0,0,0,0
50.0,quotamanager.v1.SupportIssueWorkflowService/Get,0,0,0,0,0,0
50.0,quotamanager.v1.SupportIssueWorkflowService/Close,0,0,0,0,0,0
50.0,quotamanager.v1.QuotaRequestService/Update,0,0,0,0,0,0
50.0,quotamanager.v1.QuotaRequestService/ListOperations,0,0,0,0,0,0
