le,operation,statusCode,min,max,avg,sum,last,integral
0.1,ChangeTopLevelResource,FAILED_PRECONDITION,0,0,0,0,0,0
0.1,ChangeTopLevelResource,OK,0,0,0,0,0,0
0.1,ConvertAllToBasicGroups,OK,0,5,3.8554631991255235,1923.8761363636363,5,6650839.80340909
0.1,ConvertToBasicGroup,OK,7.931818181818182,3860.054054054054,1946.6874473084852,971397.0362069341,3860.054054054054,3358092133.871912
0.1,ConvertToExternalGroup,OK,7.4772727272727275,3746.054054054054,1878.6030002193118,937422.8971094366,3746.054054054054,3240645106.375506
0.1,CreateAccessKey,OK,29.50151515151515,23218.567567567567,12116.189101093882,6045978.361445847,23218.567567567567,20900845208.780407
0.1,CreateApiKey,OK,37.5540404040404,18639.18918918919,9395.77308111609,4688490.767476929,18639.18918918919,16207982758.850048
0.1,CreateExternalGroup,OK,0,0,0,0,0,0
0.1,CreateFederatedCredential,OK,0,8,3.641318356639893,801.0900384607764,8,2769368.262958904
0.1,CreateFederation,OK,0,21,6.57553460136997,2926.1128976096365,21,10115572.287036514
0.1,CreateGroup,OK,0,0,0,0,0,0
0.1,CreateKey,OK,91.27727272727272,20416.243243243243,9995.973988833402,4987991.020427868,20416.243243243243,17243169412.0873
0.1,CreateMicroservice,OK,0,0,0,0,0,0
0.1,CreateOAuthClient,OK,15.762121212121212,7621.810810810811,3832.9457198028276,1912639.914181611,7621.810810810811,6611941693.672801
0.1,CreateOAuthClientSecret,OK,14.665656565656565,7792.540540540541,3932.7220084620753,1962428.2822225755,7792.540540540541,6784063872.4687
0.1,CreateOsLoginProfile,OK,NaN,NaN,NaN,0,NaN,0
0.1,CreateServiceAccount,OK,0,1278,378.21341230833593,188728.49274185963,1278,652434399.4086087
0.1,CreateSubjectContainer,OK,42.26616161616162,23483.54054054054,11871.212899787743,5923735.236994084,23483.54054054054,20478206600.167847
0.1,CreateSystemFolder,FAILED_PRECONDITION,0,0,0,0,0,0
0.1,CreateSystemFolder,OK,0,0,0,0,0,0
0.147,ChangeTopLevelResource,FAILED_PRECONDITION,0,0,0,0,0,0
0.147,ChangeTopLevelResource,OK,0,0,0,0,0,0
0.147,ConvertAllToBasicGroups,OK,0,92,54.26760435985844,27079.53457556936,92,93613951.02774327
