le,operation,min,max,avg,sum,last,integral
inf,ValidateDomain,0,0,0,0,0,0
inf,UpdateUserpoolAccessBindings,0,0,0,0,0,0
inf,UpdateUserpool,0,0,0,0,0,0
inf,UpdateUser,0,0,0,0,0,0
inf,UpdateSamlApplicationAssignments,0,0,0,0,0,0
inf,UpdateSamlApplication,0,0,0,0,0,0
inf,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
inf,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
inf,UpdateOAuthApplication,0,0,0,0,0,0
inf,UpdateAssignments,0,0,0,0,0,0
inf,UnlinkOAuthClient,0,0,0,0,0,0
inf,SuspendSamlApplication,0,0,0,0,0,0
inf,SuspendOAuthApplication,0,0,0,0,0,0
inf,SetPasswordHash,0,0,0,0,0,0
inf,SetOthersPassword,0,0,0,0,0,0
inf,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
inf,ReactivateSamlApplication,0,0,0,0,0,0
inf,ReactivateOAuthApplication,0,0,0,0,0,0
inf,DeleteUserpool,0,0,0,0,0,0
inf,DeleteUser,0,0,0,0,0,0
inf,DeleteSamlApplication,0,0,0,0,0,0
inf,DeleteOrganizationSamlApplications,0,0,0,0,0,0
inf,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
inf,DeleteOAuthApplication,0,0,0,0,0,0
inf,DeleteDomain,0,0,0,0,0,0
inf,DeleteApplication,0,0,0,0,0,0
inf,CreateUserpool,0,0,0,0,0,0
inf,CreateUser,0,0,0,0,0,0
inf,CreateSamlApplication,0,0,0,0,0,0
inf,CreateOAuthApplication,0,0,0,0,0,0
inf,AddDomain,0,0,0,0,0,0
10000,ValidateDomain,0,0,0,0,0,0
10000,UpdateUserpoolAccessBindings,0,0,0,0,0,0
10000,UpdateUserpool,0,0,0,0,0,0
10000,UpdateUser,0,0,0,0,0,0
10000,UpdateSamlApplicationAssignments,0,0,0,0,0,0
10000,UpdateSamlApplication,0,0,0,0,0,0
10000,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
10000,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
10000,UpdateOAuthApplication,0,0,0,0,0,0
10000,UpdateAssignments,0,0,0,0,0,0
10000,UnlinkOAuthClient,0,0,0,0,0,0
10000,SuspendSamlApplication,0,0,0,0,0,0
10000,SuspendOAuthApplication,0,0,0,0,0,0
10000,SetPasswordHash,0,0,0,0,0,0
10000,SetOthersPassword,0,0,0,0,0,0
10000,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
10000,ReactivateSamlApplication,0,0,0,0,0,0
10000,ReactivateOAuthApplication,0,0,0,0,0,0
10000,DeleteUserpool,0,0,0,0,0,0
10000,DeleteUser,0,0,0,0,0,0
10000,DeleteSamlApplication,0,0,0,0,0,0
10000,DeleteOrganizationSamlApplications,0,0,0,0,0,0
10000,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
10000,DeleteOAuthApplication,0,0,0,0,0,0
10000,DeleteDomain,0,0,0,0,0,0
10000,DeleteApplication,0,0,0,0,0,0
10000,CreateUserpool,0,0,0,0,0,0
10000,CreateUser,0,0,0,0,0,0
10000,CreateSamlApplication,0,0,0,0,0,0
10000,CreateOAuthApplication,0,0,0,0,0,0
10000,AddDomain,0,0,0,0,0,0
6812.921,ValidateDomain,0,0,0,0,0,0
6812.921,UpdateUserpoolAccessBindings,0,0,0,0,0,0
6812.921,UpdateUserpool,0,0,0,0,0,0
6812.921,UpdateUser,0,0,0,0,0,0
6812.921,UpdateSamlApplicationAssignments,0,0,0,0,0,0
6812.921,UpdateSamlApplication,0,0,0,0,0,0
6812.921,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
6812.921,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
6812.921,UpdateOAuthApplication,0,0,0,0,0,0
6812.921,UpdateAssignments,0,0,0,0,0,0
6812.921,UnlinkOAuthClient,0,0,0,0,0,0
6812.921,SuspendSamlApplication,0,0,0,0,0,0
6812.921,SuspendOAuthApplication,0,0,0,0,0,0
6812.921,SetPasswordHash,0,0,0,0,0,0
6812.921,SetOthersPassword,0,0,0,0,0,0
