le,operation,statusCode,min,max,avg,sum,last,integral
0.1,AcceptInvitation,OK,0,0,0,0,0,0
0.1,AddDomain,OK,0,38326.44949641985,19450.37185172548,9686285.182159288,38326.44949641985,51986292572.64893
0.1,AddFederatedUserAccounts,CANCELLED,0,0,0,0,0,0
0.1,AddFederatedUserAccounts,OK,0,0,0,0,0,0
0.1,AddFederatedUserAccounts,RESOURCE_EXHAUSTED,0,0,0,0,0,0
0.1,AddMembership,OK,0,0,0,0,0,0
0.1,AddMembership,RESOURCE_EXHAUSTED,0,0,0,0,0,0
0.1,AddOrganizationOwner,OK,0,0,0,0,0,0
0.1,AddRestriction,OK,0,0,0,0,0,0
0.1,BulkDeleteMembership,OK,0,0,0,0,0,0
0.1,CreateCertificate,OK,0,11607.238071745955,5801.999424507974,2889395.713404971,11607.238071745955,15507386793.844477
0.1,CreateFederation,OK,0,0,0,0,0,0
0.1,CreateGroupMapping,OK,0,1.1440762362637362,0.3647521016696256,181.64654663147354,1.1440762362637362,974897.0157711164
0.1,CreateInvitations,OK,0,0,0,0,0,0
0.1,CreateMfaEnforcement,OK,0,0.019067904051929596,0.010679464141876087,5.318373142654291,0.019067904051929596,28543.70865662562
0.1,CreateOrganization,INTERNAL,0,0,0,0,0,0
0.1,CreateOrganization,OK,0,0,0,0,0,0
0.1,CreateUserSshKey,OK,0,994.6423393032562,437.6217703041886,217935.64161148592,994.6423393032562,1169660588.5288432
0.1,DeleteCertificate,OK,0,11590.240969244243,5786.639796537934,2881746.618675891,11590.240969244243,15466334102.433517
0.1,DeleteDomain,OK,0,38402.63245425379,19443.3920996123,9682809.265606927,38402.63245425379,51967637328.5124
0.1,DeleteFederatedUserAccounts,OK,0,0,0,0,0,0
0.1,DeleteFederation,OK,0,0,0,0,0,0
0.1,DeleteGroupMapping,OK,0,0,0,0,0,0
0.1,DeleteInvitation,OK,0,0,0,0,0,0
0.1,DeleteMembership,FAILED_PRECONDITION,0,0,0,0,0,0
0.1,DeleteMembership,OK,0,0,0,0,0,0
0.1,DeleteOrganization,FAILED_PRECONDITION,0,81.58630401234565,39.688718486630435,19764.981806341955,81.58630401234565,106078657.35463747
0.1,DeleteOrganization,OK,0,0,0,0,0,0
0.1,DeleteUserSshKey,OK,0,228.5391304370065,110.3198573470726,54939.28895884215,228.5391304370065,294859163.8421057
0.1,EnableServices,OK,0,0,0,0,0,0
0.1,InviteUsers,FAILED_PRECONDITION,0,0,0,0,0,0
0.1,InviteUsers,OK,0,0,0,0,0,0
0.1,RejectInvitation,OK,0,0,0,0,0,0
0.1,ResendInvitation,INTERNAL,0,0,0,0,0,0
0.1,ResendInvitation,OK,0,0,0,0,0,0
0.1,ScheduleSync,OK,0,0,0,0,0,0
0.1,SendSync,OK,0,0,0,0,0,0
0.1,SetOrganizationAccessBindings,OK,0,0,0,0,0,0
0.1,UNKNOWN,OK,0,70.19709495726438,31.836516022117323,15854.584979014428,70.19709495726438,85091557.58237085
0.1,UpdateAudience,OK,0,0,0,0,0,0
0.1,UpdateCertificate,OK,0,5831.921999337741,2921.047749160251,1454681.779081805,5831.921999337741,7807277108.332055
0.1,UpdateFederation,OK,0,0,0,0,0,0
0.1,UpdateGroupMapping,OK,0,3.8161338661338657,2.575948805768098,1282.8225052725127,3.8161338661338657,6884908.385797545
0.1,UpdateGroupMappingItems,OK,0,0,0,0,0,0
0.1,UpdateMfaEnforcement,OK,0,0.17185978578383643,0.05309651458805023,26.442064264849016,0.17185978578383643,141914.55890944542
0.1,UpdateOrganization,OK,0,0,0,0,0,0
0.1,UpdateOrganizationAccessBindings,FAILED_PRECONDITION,0,0,0,0,0,0
0.1,UpdateOrganizationAccessBindings,OK,0,0,0,0,0,0
0.1,UpdateOrganizationPermissionStagesOperation,OK,0,12.002906976744185,7.717631542657158,3843.380508243265,12.002906976744185,20627423.187741574
0.1,UpdateReferences,OK,0,47643.73571747056,24038.723445637836,11971284.275927642,47643.73571747056,64249882708.903625
0.1,UpdateSubscribers,OK,0,86059.24317390996,43044.76067714599,21436290.817218702,86059.24317390996,115048572816.01276
0.1,ValidateDomain,OK,0,0,0,0,0,0
0.147,AcceptInvitation,OK,0,0,0,0,0,0
0.147,AddDomain,OK,0,0,0,0,0,0
0.147,AddFederatedUserAccounts,CANCELLED,0,0,0,0,0,0
0.147,AddFederatedUserAccounts,OK,0,0,0,0,0,0
0.147,AddFederatedUserAccounts,RESOURCE_EXHAUSTED,0,0,0,0,0,0
0.147,AddMembership,OK,0,0,0,0,0,0
0.147,AddMembership,RESOURCE_EXHAUSTED,0,0,0,0,0,0
0.147,AddOrganizationOwner,OK,0,0,0,0,0,0
0.147,AddRestriction,OK,0,0,0,0,0,0
0.147,BulkDeleteMembership,OK,0,0,0,0,0,0
0.147,CreateCertificate,OK,0,0,0,0,0,0
0.147,CreateFederation,OK,0,0,0,0,0,0
0.147,CreateGroupMapping,OK,0,0,0,0,0,0
0.147,CreateInvitations,OK,0,0,0,0,0,0
0.147,CreateMfaEnforcement,OK,0,0,0,0,0,0
0.147,CreateOrganization,INTERNAL,0,0,0,0,0,0
0.147,CreateOrganization,OK,0,0,0,0,0,0
0.147,CreateUserSshKey,OK,0,0,0,0,0,0
0.147,DeleteCertificate,OK,0,0,0,0,0,0
0.147,DeleteDomain,OK,0,0,0,0,0,0
0.147,DeleteFederatedUserAccounts,OK,0,0,0,0,0,0
0.147,DeleteFederation,OK,0,0,0,0,0,0
0.147,DeleteGroupMapping,OK,0,0,0,0,0,0
0.147,DeleteInvitation,OK,0,0,0,0,0,0
0.147,DeleteMembership,FAILED_PRECONDITION,0,0,0,0,0,0
0.147,DeleteMembership,OK,0,0,0,0,0,0
0.147,DeleteOrganization,FAILED_PRECONDITION,0,2,0.8471972858755282,421.90424836601306,2,2264360.100980392
0.147,DeleteOrganization,OK,0,0,0,0,0,0
0.147,DeleteUserSshKey,OK,0,0,0,0,0,0
0.147,EnableServices,OK,0,0,0,0,0,0
0.147,InviteUsers,FAILED_PRECONDITION,0,0,0,0,0,0
0.147,InviteUsers,OK,0,0,0,0,0,0
0.147,RejectInvitation,OK,0,0,0,0,0,0
0.147,ResendInvitation,INTERNAL,0,0,0,0,0,0
0.147,ResendInvitation,OK,0,2,1.0789045069165553,537.2944444444445,2,2883659.283333333
0.147,ScheduleSync,OK,0,0,0,0,0,0
0.147,SendSync,OK,0,0,0,0,0,0
0.147,SetOrganizationAccessBindings,OK,0,0,0,0,0,0
0.147,UNKNOWN,OK,0,0,0,0,0,0
0.147,UpdateAudience,OK,0,0,0,0,0,0
0.147,UpdateCertificate,OK,0,0,0,0,0,0
0.147,UpdateFederation,OK,0,0,0,0,0,0
0.147,UpdateGroupMapping,OK,0,0,0,0,0,0
0.147,UpdateGroupMappingItems,OK,0,0,0,0,0,0
0.147,UpdateMfaEnforcement,OK,0,0,0,0,0,0
0.147,UpdateOrganization,OK,0,0,0,0,0,0
0.147,UpdateOrganizationAccessBindings,FAILED_PRECONDITION,0,0,0,0,0,0
0.147,UpdateOrganizationAccessBindings,OK,0,0,0,0,0,0
0.147,UpdateOrganizationPermissionStagesOperation,OK,0,0,0,0,0,0
0.147,UpdateReferences,OK,0,0,0,0,0,0
0.147,UpdateSubscribers,OK,0,0,0,0,0,0
0.147,ValidateDomain,OK,0,0,0,0,0,0
0.215,AcceptInvitation,OK,0,0,0,0,0,0
0.215,AddDomain,OK,0,0,0,0,0,0
0.215,AddFederatedUserAccounts,CANCELLED,0,0,0,0,0,0
0.215,AddFederatedUserAccounts,OK,0,0,0,0,0,0
0.215,AddFederatedUserAccounts,RESOURCE_EXHAUSTED,0,0,0,0,0,0
0.215,AddMembership,OK,0,0,0,0,0,0
0.215,AddMembership,RESOURCE_EXHAUSTED,0,2,0.6568056539885031,327.08921568627454,2,1755487.8205882353
0.215,AddOrganizationOwner,OK,0,0,0,0,0,0
0.215,AddRestriction,OK,0,0,0,0,0,0
0.215,BulkDeleteMembership,OK,0,0,0,0,0,0
