le,operation,min,max,avg,sum,last,integral
inf,UpdateQuotaRequest,0,0,0,0,0,0
inf,DeleteQuotaRequest,0,0,0,0,0,0
inf,CreateQuotaRequest,0,0,0,0,0,0
inf,CloseQuotaRequestWithIssue,0,0,0,0,0,0
inf,CancelQuotaRequest,0,0,0,0,0,0
10000.0,UpdateQuotaRequest,0,0,0,0,0,0
10000.0,DeleteQuotaRequest,0,0,0,0,0,0
10000.0,CreateQuotaRequest,0,0,0,0,0,0
10000.0,CloseQuotaRequestWithIssue,0,0,0,0,0,0
10000.0,CancelQuotaRequest,0,0,0,0,0,0
6812.921,UpdateQuotaRequest,0,0,0,0,0,0
6812.921,DeleteQuotaRequest,0,0,0,0,0,0
6812.921,CreateQuotaRequest,0,0,0,0,0,0
6812.921,CloseQuotaRequestWithIssue,0,0,0,0,0,0
6812.921,CancelQuotaRequest,0,0,0,0,0,0
4641.589,UpdateQuotaRequest,0,0,0,0,0,0
4641.589,DeleteQuotaRequest,0,0,0,0,0,0
4641.589,CloseQuotaRequestWithIssue,0,0,0,0,0,0
4641.589,CancelQuotaRequest,0,0,0,0,0,0
3162.278,UpdateQuotaRequest,0,0,0,0,0,0
3162.278,DeleteQuotaRequest,0,0,0,0,0,0
3162.278,CreateQuotaRequest,0,0,0,0,0,0
3162.278,CloseQuotaRequestWithIssue,0,0,0,0,0,0
3162.278,CancelQuotaRequest,0,0,0,0,0,0
2154.435,UpdateQuotaRequest,0,0,0,0,0,0
2154.435,DeleteQuotaRequest,0,0,0,0,0,0
2154.435,CloseQuotaRequestWithIssue,0,0,0,0,0,0
2154.435,CancelQuotaRequest,0,0,0,0,0,0
1467.799,UpdateQuotaRequest,0,0,0,0,0,0
1467.799,DeleteQuotaRequest,0,0,0,0,0,0
1467.799,CloseQuotaRequestWithIssue,0,0,0,0,0,0
1467.799,CancelQuotaRequest,0,0,0,0,0,0
1000.0,UpdateQuotaRequest,0,0,0,0,0,0
1000.0,DeleteQuotaRequest,0,0,0,0,0,0
1000.0,CloseQuotaRequestWithIssue,0,0,0,0,0,0
1000.0,CancelQuotaRequest,0,0,0,0,0,0
681.292,UpdateQuotaRequest,0,0,0,0,0,0
681.292,DeleteQuotaRequest,0,0,0,0,0,0
681.292,CloseQuotaRequestWithIssue,0,0,0,0,0,0
681.292,CancelQuotaRequest,0,0,0,0,0,0
464.159,UpdateQuotaRequest,0,0,0,0,0,0
464.159,DeleteQuotaRequest,0,0,0,0,0,0
464.159,CloseQuotaRequestWithIssue,0,0,0,0,0,0
464.159,CancelQuotaRequest,0,0,0,0,0,0
316.228,DeleteQuotaRequest,0,0,0,0,0,0
316.228,CloseQuotaRequestWithIssue,0,0,0,0,0,0
316.228,CancelQuotaRequest,0,0,0,0,0,0
215.443,DeleteQuotaRequest,0,0,0,0,0,0
