le,operation,statusCode,min,max,avg,sum,last,integral
0.1,DeleteCloudResources,OK,0,0,0,0,0,0
0.1,DeleteFolderResources,ABORTED,0,0,0,0,0,0
0.1,DeleteFolderResources,CANCELLED,0,0,0,0,0,0
0.1,DeleteFolderResources,FAILED_PRECONDITION,0,0,0,0,0,0
0.1,DeleteFolderResources,OK,0,0,0,0,0,0
0.1,StopCloudResources,ABORTED,0,0,0,0,0,0
0.1,StopCloudResources,CANCELLED,0,0,0,0,0,0
0.1,StopCloudResources,OK,0,0,0,0,0,0
0.1,StopFolderResources,ABORTED,0,0,0,0,0,0
0.1,StopFolderResources,CANCELLED,0,0,0,0,0,0
0.1,StopFolderResources,OK,0,0,0,0,0,0
0.147,DeleteCloudResources,OK,0,0,0,0,0,0
0.147,DeleteFolderResources,ABORTED,0,0,0,0,0,0
0.147,DeleteFolderResources,CANCELLED,0,0,0,0,0,0
0.147,DeleteFolderResources,FAILED_PRECONDITION,0,0,0,0,0,0
0.147,DeleteFolderResources,OK,0,0,0,0,0,0
0.147,StopCloudResources,ABORTED,0,0,0,0,0,0
0.147,StopCloudResources,CANCELLED,0,0,0,0,0,0
0.147,StopCloudResources,OK,0,0,0,0,0,0
0.147,StopFolderResources,ABORTED,0,0,0,0,0,0
0.147,StopFolderResources,CANCELLED,0,0,0,0,0,0
0.147,StopFolderResources,OK,0,0,0,0,0,0
0.215,DeleteCloudResources,OK,0,0,0,0,0,0
0.215,DeleteFolderResources,ABORTED,0,0,0,0,0,0
0.215,DeleteFolderResources,CANCELLED,0,0,0,0,0,0
0.215,DeleteFolderResources,FAILED_PRECONDITION,0,0,0,0,0,0
0.215,DeleteFolderResources,OK,0,0,0,0,0,0
0.215,StopCloudResources,ABORTED,0,0,0,0,0,0
0.215,StopCloudResources,CANCELLED,0,0,0,0,0,0
0.215,StopCloudResources,OK,0,0,0,0,0,0
0.215,StopFolderResources,ABORTED,0,0,0,0,0,0
0.215,StopFolderResources,CANCELLED,0,0,0,0,0,0
0.215,StopFolderResources,OK,0,0,0,0,0,0
0.316,DeleteCloudResources,OK,0,0,0,0,0,0
0.316,DeleteFolderResources,ABORTED,0,0,0,0,0,0
0.316,DeleteFolderResources,CANCELLED,0,0,0,0,0,0
0.316,DeleteFolderResources,FAILED_PRECONDITION,0,0,0,0,0,0
0.316,DeleteFolderResources,OK,0,0,0,0,0,0
0.316,StopCloudResources,ABORTED,0,0,0,0,0,0
0.316,StopCloudResources,CANCELLED,0,0,0,0,0,0
0.316,StopCloudResources,OK,0,0,0,0,0,0
0.316,StopFolderResources,ABORTED,0,0,0,0,0,0
0.316,StopFolderResources,CANCELLED,0,0,0,0,0,0
0.316,StopFolderResources,OK,0,0,0,0,0,0
0.464,DeleteCloudResources,OK,0,0,0,0,0,0
0.464,DeleteFolderResources,ABORTED,0,0,0,0,0,0
0.464,DeleteFolderResources,CANCELLED,0,0,0,0,0,0
0.464,DeleteFolderResources,FAILED_PRECONDITION,0,0,0,0,0,0
0.464,DeleteFolderResources,OK,0,0,0,0,0,0
0.464,StopCloudResources,ABORTED,0,0,0,0,0,0
0.464,StopCloudResources,CANCELLED,0,0,0,0,0,0
0.464,StopCloudResources,OK,0,0,0,0,0,0
0.464,StopFolderResources,ABORTED,0,0,0,0,0,0
0.464,StopFolderResources,CANCELLED,0,0,0,0,0,0
0.464,StopFolderResources,OK,0,0,0,0,0,0
0.681,DeleteCloudResources,OK,0,0,0,0,0,0
0.681,DeleteFolderResources,ABORTED,0,0,0,0,0,0
0.681,DeleteFolderResources,CANCELLED,0,0,0,0,0,0
0.681,DeleteFolderResources,FAILED_PRECONDITION,0,0,0,0,0,0
0.681,DeleteFolderResources,OK,0,0,0,0,0,0
0.681,StopCloudResources,ABORTED,0,0,0,0,0,0
0.681,StopCloudResources,CANCELLED,0,0,0,0,0,0
0.681,StopCloudResources,OK,0,0,0,0,0,0
0.681,StopFolderResources,ABORTED,0,0,0,0,0,0
