operation,count,p50,p90,p99,p999
organizationmanager.v1.OsLoginService/UpdateSettings,17,0.25,0.5,0.5,0.5
organizationmanager.v1.OsLoginService/UpdateProfile,6,0.5,1.0,1.0,1.0
organizationmanager.v1.OsLoginService/DeleteProfile,0,None,None,None,None
organizationmanager.v1.GroupService/UpdateReferences,20,0.25,0.5,0.75,0.75
organizationmanager.v1.GroupService/UpdateMembers,19356,0.5,0.75,2.5,2.5
organizationmanager.v1.GroupService/UpdateAccessBindings,6252,0.25,0.5,0.75,2.5
organizationmanager.v1.GroupService/Update,2139,0.25,0.5,1.0,2.5
organizationmanager.v1.GroupService/Delete,20604,0.25,0.5,0.75,2.5
organizationmanager.v1.GroupService/ConvertToExternal,2031,0.25,0.5,1.0,2.5
organizationmanager.v1.GroupService/ConvertAllToBasic,9109,0.25,0.25,0.5,1.0
maintenance.v1.MaintenanceService/ExecuteCommand,3,0.075,0.1,0.25,0.25
iam.v1.workload.oidc.FederationService/Update,4,0.5,0.75,0.75,0.75
iam.v1.workload.oidc.FederationService/SetAccessBindings,3,0.25,0.5,0.5,0.5
iam.v1.workload.oidc.FederationService/Delete,96,0.25,0.5,1.0,1.0
iam.v1.workload.FederatedCredentialService/Delete,44,0.25,0.5,0.5,0.5
iam.v1.backoffice.PermissionService/Check,0,0.05,0.05,0.05,0.05
iam.v1.awscompatibility.AccessKeyService/Update,2377,0.25,0.5,1.0,2.5
iam.v1.awscompatibility.AccessKeyService/Delete,18388,0.25,0.5,2.5,25.0
iam.v1.YandexPassportUserAccountService/AddUserAccounts,148,0.25,0.5,1.0,2.5
iam.v1.UserAccountService/UpdateSettings,683488,0.05,0.25,0.5,0.75
iam.v1.UserAccountService/Delete,12336,0.25,0.25,0.5,1.0
iam.v1.SubjectService/BulkUpdate,67922,0.25,0.25,0.75,2.5
iam.v1.SubjectService/BulkSuspend,9,0.25,0.25,0.25,0.5
iam.v1.SubjectService/BulkReactivate,2,0.25,0.25,0.25,0.5
iam.v1.SubjectService/BulkMerge,1341,0.25,0.25,0.75,2.5
iam.v1.SubjectService/BulkDelete,7478,0.1,0.25,0.5,0.75
iam.v1.SubjectLastIdProofService/Update,221593,0.25,0.25,0.75,2.5
iam.v1.SubjectContainerService/Update,2033,0.25,0.25,0.75,1.0
iam.v1.SubjectContainerService/Delete,13421,0.25,0.25,0.75,2.5
iam.v1.ServiceControlService/Upgrade,0,0.5,0.75,0.75,0.75
iam.v1.ServiceControlService/UpdateReferences,31746,0.25,0.25,0.75,2.5
iam.v1.ServiceControlService/FindAgent,14986,0.05,0.075,0.25,0.5
iam.v1.ServiceControlService/Enable,0,0.5,0.75,0.75,0.75
iam.v1.ServiceControlService/Disable,0,0.75,0.75,0.75,0.75
iam.v1.ServiceControlService/DeleteSystemFolder,53,0.25,0.5,0.75,0.75
iam.v1.ServiceControlService/Delete,43002,0.25,0.5,0.75,2.5
iam.v1.ServiceControlService/CanEnsureEnabled,98,0.05,0.075,0.25,0.25
iam.v1.ServiceAccountService/UpdateReferences,411258,0.25,0.5,1.0,2.5
iam.v1.ServiceAccountService/UpdateAccessBindings,59602,0.25,0.5,0.75,2.5
iam.v1.ServiceAccountService/Update,1007,0.5,0.75,1.0,2.5
iam.v1.ServiceAccountService/SetAccessBindings,469,0.25,0.5,1.0,2.5
iam.v1.ServiceAccountService/Delete,112872,0.25,0.5,1.0,2.5
iam.v1.RootService/UpdateAccessBindings,810,0.05,0.25,0.5,0.5
iam.v1.RestrictionService/RemoveIfPresent,2594,0.25,0.25,0.75,2.5
iam.v1.RestrictionService/RemoveAll,49567,0.25,0.25,0.75,1.0
iam.v1.RestrictionService/FilterRestrictedResources,262492,0.025,0.05,0.25,0.5
iam.v1.RestrictionService/AddIfAbsent,62786,0.25,0.25,0.75,2.5
iam.v1.RefreshTokenService/Revoke,24,0.25,0.5,0.5,0.5
iam.v1.QuotaLimitService/Update,4,0.25,0.25,0.25,0.25
iam.v1.OAuthClientService/Update,2125,0.25,0.5,0.75,2.5
iam.v1.OAuthClientService/Delete,4291,0.25,0.5,0.75,2.5
iam.v1.OAuthClientSecretService/Delete,4292,0.25,0.5,0.75,1.0
iam.v1.OAuthClientResourceReaperService/DeleteFolderResources,46550,0.1,0.25,0.5,1.0
iam.v1.MembershipService/RemoveResourceMembers,20083,0.1,0.25,0.5,0.75
iam.v1.MembershipService/FilterResourceMembers,13765,0.025,0.025,0.25,0.5
iam.v1.MembershipService/AddResourceMembers,42288,0.25,0.5,1.0,2.5
iam.v1.KeyService/Update,455,0.25,0.5,0.75,2.5
iam.v1.KeyService/Delete,2093,0.25,0.5,0.75,2.5
iam.v1.GizmoService/UpdateAccessBindings,224,0.05,0.1,0.25,0.5
iam.v1.ApiKeyService/Update,2318,0.25,0.5,1.0,2.5
iam.v1.ApiKeyService/Delete,10713,0.25,0.5,1.0,2.5
iam.v1.AccessPolicyBindingService/UnbindAllAccessPolicies,106,0.1,0.25,0.5,0.5
iam.v1.AccessBindingService/UpdateAccessBindings,376451,0.25,0.25,0.75,2.5
iam.v1.AccessBindingService/SetAccessBindings,2179329,0.1,0.25,0.5,1.0
iam.v1.AccessBindingService/DeleteByTopLevelResource,20087,0.1,0.25,0.5,0.75
iam.v1.AccessBindingService/DeleteByCloud,1589,0.1,0.25,0.5,1.0
iam.v1.AccessBindingService/CheckLikelyPubliclyAccessible,18835616,0.025,0.05,0.25,0.75
iam.v1.AccessBindingService/ChangeTopLevelResource,14,0.1,0.25,0.5,0.5
